GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JGAlgo - Examples,com.jgalgo.example,ShortestPathExample,11,111,2,4,0,26,3,4,1,3
JGAlgo - Examples,com.jgalgo.example,LowestCommonAncestorExample,43,168,10,10,0,40,11,4,1,4
JGAlgo - Examples,com.jgalgo.example,EdgeIterationExample,23,145,5,7,0,34,6,4,1,3
JGAlgo - Examples,com.jgalgo.example,BfsDfsExample,3,117,0,4,1,35,1,6,1,4
JGAlgo - Examples,com.jgalgo.example,ColoringExample,7,114,1,5,0,32,2,6,1,4
JGAlgo - Examples,com.jgalgo.example,MaximumMatchingExample,7,118,1,5,0,29,2,7,1,5
JGAlgo - Examples,com.jgalgo.example,MinimumSpanningTreeExample,7,197,1,1,0,43,2,3,1,3
